Wikidata property ID,EDM property
http://www.wikidata.org/prop/P3068,
http://www.wikidata.org/prop/P3075,
http://www.wikidata.org/prop/P3087,
http://www.wikidata.org/prop/P3097,
http://www.wikidata.org/prop/P3137,
http://www.wikidata.org/prop/P3174,
http://www.wikidata.org/prop/P3219,
http://www.wikidata.org/prop/P3225,
http://www.wikidata.org/prop/P3259,
http://www.wikidata.org/prop/P3268,
http://www.wikidata.org/prop/P3273,
http://www.wikidata.org/prop/P3324,
http://www.wikidata.org/prop/P3347,
http://www.wikidata.org/prop/P3371,
http://www.wikidata.org/prop/P3381,
http://www.wikidata.org/prop/P3425,
http://www.wikidata.org/prop/P3513,
http://www.wikidata.org/prop/P360,
http://www.wikidata.org/prop/P3626,
http://www.wikidata.org/prop/P3627,
http://www.wikidata.org/prop/P3633,
http://www.wikidata.org/prop/P364,
http://www.wikidata.org/prop/P3710,
http://www.wikidata.org/prop/P3724,
http://www.wikidata.org/prop/P3735,
http://www.wikidata.org/prop/P3836,
http://www.wikidata.org/prop/P3896,
http://www.wikidata.org/prop/P3932,
http://www.wikidata.org/prop/P3938,
http://www.wikidata.org/prop/P396,
http://www.wikidata.org/prop/P3977,
http://www.wikidata.org/prop/P4014,
http://www.wikidata.org/prop/P407,
http://www.wikidata.org/prop/P487,
http://www.wikidata.org/prop/P494,
http://www.wikidata.org/prop/P50,
http://www.wikidata.org/prop/P537,
http://www.wikidata.org/prop/P559,
http://www.wikidata.org/prop/P563,
http://www.wikidata.org/prop/P57,
http://www.wikidata.org/prop/P575,
http://www.wikidata.org/prop/P587,
http://www.wikidata.org/prop/P608,
http://www.wikidata.org/prop/P630,
http://www.wikidata.org/prop/P632,
http://www.wikidata.org/prop/P650,
http://www.wikidata.org/prop/P672,
http://www.wikidata.org/prop/P699,
http://www.wikidata.org/prop/P710,
http://www.wikidata.org/prop/P718,
http://www.wikidata.org/prop/P740,
http://www.wikidata.org/prop/P768,
http://www.wikidata.org/prop/P770,
http://www.wikidata.org/prop/P837,
http://www.wikidata.org/prop/P920,
http://www.wikidata.org/prop/P941,
http://www.wikidata.org/prop/P947,
http://www.wikidata.org/prop/P974,
http://www.wikidata.org/prop/direct/P974,
http://schema.org/description,skos:note
http://www.w3.org/2000/01/rdf-schema#label,skos:prefLabel
http://www.w3.org/2004/02/skos/core#altLabel,skos:altLabel
http://www.wikidata.org/entity/P17,
http://www.wikidata.org/entity/P18,foaf:depiction
http://www.wikidata.org/entity/P27,
http://www.wikidata.org/entity/P30,
http://www.wikidata.org/entity/P31,dcterms:isPartOf if URI
http://www.wikidata.org/entity/P94,
http://www.wikidata.org/entity/P127,
http://www.wikidata.org/entity/P131,
http://www.wikidata.org/entity/P137,
http://www.wikidata.org/entity/P190,
http://www.wikidata.org/entity/P214,owl:sameAs if URI
http://www.wikidata.org/entity/P227,owl:sameAs if URI
http://www.wikidata.org/entity/P242,
