Wikidata entity,EuropeanaID
Q17233633,2020718/DR_1331
Q17233725,2020718/DR_135
Q17233747,2020718/DR_1354
Q17233767,2020718/DR_1358
Q17233907,2020718/DR_1382
Q17233935,2020718/DR_1388
Q17234112,2020718/DR_142
Q17234155,2020718/DR_1428
Q17234341,2020718/DR_1462
Q17234410,2020718/DR_1475
Q17234415,2020718/DR_1476
Q17234493,2020718/DR_1489
Q17234497,2020718/DR_149
Q17234502,2020718/DR_1490
Q17234543,2020718/DR_1499
Q17234567,2020718/DR_1502
Q17234660,2020718/DR_1522
Q17234680,2020718/DR_1526
Q17234685,2020718/DR_1527
Q17234709,2020718/DR_1531
Q17234733,2020718/DR_1536
Q17234878,2020718/DR_1563
Q17234937,2020718/DR_1573
Q17235003,2020718/DR_1586
Q17235092,2020718/DR_1601
Q17235120,2020718/DR_1607
Q17235138,2020718/DR_1611
Q17235181,2020718/DR_162
Q17235215,2020718/DR_1626
Q17235249,2020718/DR_1632
Q17235279,2020718/DR_1638
Q17235284,2020718/DR_1639
Q17235343,2020718/DR_1648
Q17235407,2020718/DR_1657
Q17235455,2020718/DR_1664
Q17235466,2020718/DR_1666
Q17235495,2020718/DR_1670
Q17235512,2020718/DR_1674
Q17235536,2020718/DR_1678
Q17235571,2020718/DR_1683
Q17235575,2020718/DR_1684
Q17235596,2020718/DR_1688
Q17235628,2020718/DR_1694
Q17235676,2020718/DR_1701
Q17235690,2020718/DR_1704
Q17235695,2020718/DR_1705
Q17235747,2020718/DR_1715
Q17235750,2020718/DR_1716
Q17235763,2020718/DR_1718
Q17235799,2020718/DR_1724
Q17235809,2020718/DR_1726
Q17235826,2020718/DR_173
Q17235840,2020718/DR_1732
Q17287393,2020718/DR_1751
Q17287401,2020718/DR_1755
Q17287406,2020718/DR_176
Q17287436,2020718/DR_1777
Q17287473,2020718/DR_1789
Q17287484,2020718/DR_1790
Q17287522,2020718/DR_1797
Q17287537,2020718/DR_18
Q17287571,2020718/DR_1804
Q17287737,2020718/DR_1830
Q17287787,2020718/DR_1839
Q17287804,2020718/DR_1841
Q17287835,2020718/DR_1847
Q17287867,2020718/DR_1853
Q17287873,2020718/DR_1854
Q17288000,2020718/DR_1876
Q17288034,2020718/DR_1881
Q17288189,2020718/DR_1901
Q17288210,2020718/DR_1903
Q17288230,2020718/DR_1905
Q17288243,2020718/DR_1907
Q17237439,2020718/DR_19101
Q17237515,2020718/DR_19112
Q17237520,2020718/DR_19113
Q17237581,2020718/DR_19123
Q17237600,2020718/DR_19127
Q17237673,2020718/DR_19136
Q17253637,2020718/DR_19157
Q17253639,2020718/DR_19159
Q17253653,2020718/DR_19169
Q17253659,2020718/DR_19176
Q17253678,2020718/DR_19184
Q17253691,2020718/DR_19189
Q17253696,2020718/DR_19191
Q17253701,2020718/DR_19194
Q17253715,2020718/DR_19204
Q17253724,2020718/DR_19208
Q17253731,2020718/DR_19212
Q17253737,2020718/DR_19214
Q17253747,2020718/DR_19219
Q17253772,2020718/DR_19228
Q17253777,2020718/DR_19230
Q17253778,2020718/DR_19231
Q17253785,2020718/DR_19237
Q17253831,2020718/DR_19250
Q17253834,2020718/DR_19253
Q17253883,2020718/DR_19292
Q17253892,2020718/DR_19297
Q17253894,2020718/DR_19299
Q17253960,2020718/DR_19313
Q17253969,2020718/DR_19315
Q17253971,2020718/DR_19316
Q17253979,2020718/DR_19321
Q17254007,2020718/DR_19333
Q17254032,2020718/DR_19338
Q17254056,2020718/DR_19347
Q17254162,2020718/DR_19386
Q17254163,2020718/DR_19387
Q17288435,2020718/DR_1939
Q17254190,2020718/DR_19403
Q17254212,2020718/DR_19418
Q17254221,2020718/DR_19425
Q17254233,2020718/DR_19429
Q17254259,2020718/DR_19441
Q17254272,2020718/DR_19445
Q17254293,2020718/DR_19458
Q17254327,2020718/DR_19467
Q17254343,2020718/DR_19476
Q17254351,2020718/DR_19482
Q17254383,2020718/DR_19500
Q17254387,2020718/DR_19503
Q17254407,2020718/DR_19516
Q17254438,2020718/DR_19520
Q17254646,2020718/DR_19531
Q17254649,2020718/DR_19534
Q17254653,2020718/DR_19537
Q17254672,2020718/DR_19554
Q17288535,2020718/DR_1956
Q17254686,2020718/DR_19564
Q17254691,2020718/DR_19569
Q17254694,2020718/DR_19572
Q17288550,2020718/DR_1959
Q17254714,2020718/DR_19591
Q17254715,2020718/DR_19593
Q17254719,2020718/DR_19596
Q17254729,2020718/DR_19605
Q17254739,2020718/DR_19615
Q17254745,2020718/DR_19622
Q17254748,2020718/DR_19625
Q17254755,2020718/DR_19632
Q17254760,2020718/DR_19637
Q17288588,2020718/DR_1965
Q17254776,2020718/DR_19653
Q17254780,2020718/DR_19656
Q17254783,2020718/DR_19659
Q17254801,2020718/DR_19675
Q17254803,2020718/DR_19677
Q17254812,2020718/DR_19683
Q17254838,2020718/DR_19702
Q17254842,2020718/DR_19707
Q17288630,2020718/DR_1972
Q17254887,2020718/DR_19749
Q17254910,2020718/DR_19767
Q17254917,2020718/DR_19774
Q17254923,2020718/DR_19779
Q17254925,2020718/DR_19781
Q17254929,2020718/DR_19785
Q17288667,2020718/DR_1979
Q17254939,2020718/DR_19795
Q17254942,2020718/DR_19798
Q17254949,2020718/DR_19804
Q17254953,2020718/DR_19810
Q17254964,2020718/DR_19819
Q17254991,2020718/DR_19837
Q17255008,2020718/DR_19849
Q17288698,2020718/DR_1985
Q17255021,2020718/DR_19862
